Station,Latitude,Longitude,Line,Colour,Distance,Extra,,,,,,
Ruislip Manor,51.57349,-0.41185,Metropolitation,#9B0056,21.59861791,,,,,,,
Ruislip Manor 2,51.57349,-0.41185,Piccadilly,#003688,21.59861791,,,,,,,
Russell Square,51.523243,-0.124336,Piccadilly,#003688,1.381163385,,,,,,,
Seven Sisters 2,51.58318,-0.07495,Victoria,#0098D4,8.388202296,,,,,,,
Shadwell,51.511853,-0.05548,DLR,#00A4A7,4.156581611,,,,,,,
Shepherd's Bush,51.50474,-0.21881,Central,#E32017,7.193473319,,,,,,,
Shepherd's Bush Market,51.506063,-0.226231,Circle,#FFD300,7.68962717,,,,,,,
Shepherd's Bush Market 2,51.506063,-0.226231,Hammersmith & City,#F3A9BB,7.68962717,,,,,,,
Sloane Square,51.49258474,-0.156090904,Circle,#FFD300,3.547117025,,,,,,,
Sloane Square 2,51.49258474,-0.156090904,District,#00782A,3.547117025,,,,,,,
Snaresbrook,51.58002,0.02133,Central,#E32017,12.1092775,,,,,,,
South Ealing,51.500801,-0.307856,Piccadilly,#003688,13.36919183,,,,,,,
South Harrow,51.56461,-0.3521,Piccadilly,#003688,17.37176066,,,,,,,
South Kensington,51.494066,-0.172791,Circle,#FFD300,4.440580062,,,,,,,
South Kensington 2,51.494066,-0.172791,District,#00782A,4.440580062,,,,,,,
South Kensington 3,51.494066,-0.172791,Piccadilly,#003688,4.440580062,,,,,,,
South Kenton,51.57044666,-0.308566354,Bakerloo,#B36305,14.84254408,,,,,,,
South Quay,51.500413,-0.018636,DLR,#00A4A7,6.831595242,,,,,,,
South Ruislip,51.556795,-0.398708,Central,#E32017,20.20690534,,,,,,,
South Wimbledon,51.41543048,-0.192262754,Northern,#000000,11.99051161,,,,,,,
South Woodford,51.59088,0.02726,Central,#E32017,13.20008686,,,,,,,
Southfields,51.444941,-0.206466,District,#00782A,9.767407271,,,,,,,
Southgate,51.6324,-0.12765,Piccadilly,#003688,13.40378064,,,,,,,
Southwark,51.50384,-0.10478,Jubilee,#A0A5A9,1.181869144,,,,,,,
St.James's Park,51.49971,-0.13394,Circle,#FFD300,1.875332895,,,,,,,
St.James's Park 2,51.49971,-0.13394,District,#00782A,1.875332895,,,,,,,
