Station,Latitude,Longitude,Line,Colour,Distance,Extra,,,,,,
Heron Quays,51.5046489,-0.0207681,DLR,Teal,6.611166932,,,,,,,
High Barnet,51.6506519,-0.194138166,Northern,Black,16.33623806,,,,,,,
High Street Kensington,51.50034591,-0.192351664,Circle,Yellow,5.474105394,,,,,,,
High Street Kensington,51.50034591,-0.192351664,District,Green,5.474105394,,,,,,,
Highams Park,51.608356,-0.000135,Overground,Orange,13.3501321,,,,,,,
Highbury & Islington,51.54502,-0.10752,Overground,Orange,3.703252347,,,,,,,
Highbury & Islington,51.54502,-0.10752,Victoria,Blue,3.703252347,,,,,,,
Highgate,51.57722,-0.14553,Northern,Black,7.53294807,,,,,,,
Hillingdon,51.55364,-0.45062,Metropolitation,Purple,23.633391,,,,,,,
Hillingdon,51.55364,-0.45062,Piccadilly,Navy,23.633391,,,,,,,
Holborn,51.51711,-0.12055,Central,Red,0.656797453,,,,,,,
Holborn,51.51711,-0.12055,Piccadilly,Navy,0.656797453,,,,,,,
Holland Park,51.50722,-0.20553,Central,Red,6.251140841,,,,,,,
Holloway Road,51.5529,-0.11278,Piccadilly,Navy,4.541665643,,,,,,,
Homerton,51.5471,-0.04323,Overground,Orange,6.33846127,,,,,,,
Honor Oak Park,51.608356,-0.000135,Overground,Orange,13.3501321,N,,,,,,
Hornchurch,51.55387,0.21797,District,Green,23.53228342,,,,,,,
Hounslow Central,51.47129,-0.365853,Piccadilly,Navy,17.9137789,,,,,,,
Hounslow East,51.47354,-0.356,Piccadilly,Navy,17.19024431,,,,,,,
Hounslow West,51.473689,-0.386471,Piccadilly,Navy,19.23662292,,,,,,,
Hoxton,51.531392,-0.075586,Overground,Orange,3.499738164,N,,,,,,
Hyde Park Corner,51.50313,-0.15278,Piccadilly,Navy,2.763092432,,,,,,,
Ickenham,51.56147,-0.44257,Metropolitation,Purple,23.27553549,,,,,,,
Ickenham,51.56147,-0.44257,Piccadilly,Navy,23.27553549,,,,,,,
Imperial Wharf,51.531392,-0.075586,Overground,Orange,3.499738164,N,,,,,,
Island Gardens,51.488001,-0.011039,DLR,Teal,7.713878796,,,,,,,
Kennington,51.48823,-0.10587,Northern,Black,2.736512025,,,,,,,
Kensal Green,51.53060655,-0.224253545,Bakerloo,Brown,7.798130125,,,,,,,
Kensal Green,51.530524,-0.224713,Overground,Orange,7.826393401,N,,,,,,
Kensal Rise,51.53387,-0.22145,Overground,Orange,7.717028083,,,,,,,
Kensington (Olympia),51.49675,-0.20931,District,Green,6.710434195,,,,,,,
Kensington (Olympia),51.49675,-0.20931,Overground,Orange,6.710434195,N,,,,,,
Kentish Town,51.55046,-0.14067,Northern,Black,4.606795784,,,,,,,
Kentish Town West,51.54776,-0.14708,Overground,Orange,4.526500934,,,,,,,
Kenton,51.581496,-0.315217,Overground,Orange,15.81771196,N,,,,,,
Kenton,51.58173809,-0.316870809,Bakerloo,Brown,15.93067091,,,,,,,
Kew Gardens,51.47725641,-0.284980014,District,Green,12.35290741,,,,,,,
Kew Gardens,51.47725641,-0.284980014,Overground,Orange,12.35290741,N,,,,,,
Kilburn,51.5471715,-0.205002,Jubilee,Grey,7.315124193,,,,,,,
Kilburn High Road,51.537268,-0.191113,Overground,Orange,5.930473129,N,,,,,,
Kilburn Park,51.53495818,-0.193963023,Bakerloo,Brown,5.991705346,,,,,,,
King George V,51.50202,0.06299,DLR,Teal,12.40687349,,,,,,,
King's Cross St.Pancras,51.53057,-0.12399,Circle,Yellow,2.136161838,,,,,,,
King's Cross St.Pancras,51.53057,-0.12399,Hammersmith & City,Pink,2.136161838,,,,,,,
King's Cross St.Pancras,51.53057,-0.12399,Metropolitation,Purple,2.136161838,,,,,,,
King's Cross St.Pancras,51.53057,-0.12399,Northern,Black,2.136161838,,,,,,,
King's Cross St.Pancras,51.53057,-0.12399,Piccadilly,Navy,2.136161838,,,,,,,
King's Cross St.Pancras,51.53057,-0.12399,Victoria,Blue,2.136161838,,,,,,,
Kingsbury,51.58422,-0.2788,Jubilee,Grey,13.84778435,,,,,,,
Knightsbridge,51.50169,-0.1603,Piccadilly,Navy,3.3065333,,,,,,,
Ladbroke Grove,51.5173,-0.21114,Circle,Yellow,6.640434319,,,,,,,
Ladbroke Grove,51.5173,-0.21114,Hammersmith & City,Pink,6.640434319,,,,,,,
Lambeth North,51.49894,-0.11216,Bakerloo,Brown,1.481061024,,,,,,,
Lancaster Gate,51.512083,-0.175067,Central,Red,4.119186349,,,,,,,
Latimer Road,51.513125,-0.218428,Circle,Yellow,7.120703478,,,,,,,
Latimer Road,51.513125,-0.218428,Hammersmith & City,Pink,7.120703478,,,,,,,
Leicester Square,51.51148,-0.12849,Northern,Black,0.898546272,,,,,,,
Leicester Square,51.51148,-0.12849,Piccadilly,Navy,0.898546272,,,,,,,
Lewisham,51.465216,-0.013166,DLR,Teal,8.798493641,,,,,,,
Leyton,51.556483,-0.005669,Central,Red,9.062100322,,,,,,,
Leyton Midland Road,51.569364,-0.008066,Overground,Orange,9.787991945,N,,,,,,
Leytonstone,51.56828,0.00739,Central,Red,10.5507717,,,,,,,
Leytonstone High Road,51.563807,0.008254,Overground,Orange,10.31396994,N,,,,,,
Limehouse,51.5124366,-0.0395511,DLR,Teal,5.258918704,,,,,,,
Liverpool Street,51.517675,-0.082458,Central,Red,2.372087264,,,,,,,
Liverpool Street,51.517675,-0.082458,Circle,Yellow,2.372087264,,,,,,,
Liverpool Street,51.517675,-0.082458,Hammersmith & City,Pink,2.372087264,,,,,,,
Liverpool Street,51.517675,-0.082458,Metropolitation,Purple,2.372087264,,,,,,,
Liverpool Street,51.517598,-0.08225,Overground,Orange,2.383770233,N,,,,,,
London Bridge,51.505353,-0.084826,Jubilee,Grey,2.254041324,,,,,,,
London Bridge,51.505353,-0.084826,Northern,Black,2.254041324,,,,,,,
London City Airport,51.50319,0.04864,DLR,Teal,11.40594959,,,,,,,
London Fields,51.540719,-0.0577,Overground,Orange,5.113258422,N,,,,,,
Loughton,51.6417,0.05583,Central,Red,18.65322629,,,,,,,
Maida Vale,51.52989409,-0.185888819,Bakerloo,Brown,5.254270078,,,,,,,
Manor House,51.57038,-0.09601,Piccadilly,Navy,6.620608593,,,,,,,
Mansion House,51.51256,-0.09397,Circle,Yellow,1.493795996,,,,,,,
Mansion House,51.51256,-0.09397,District,Green,1.493795996,,,,,,,
Marble Arch,51.513597,-0.15869195,Central,Red,2.990634549,,,,,,,
Marylebone,51.52266,-0.162996,Bakerloo,Brown,3.487410234,,,,,,,
Mile End,51.525306,-0.033471,Central,Red,5.865740664,,,,,,,
Mile End,51.525306,-0.033471,District,Green,5.865740664,,,,,,,
Mile End,51.525306,-0.033471,Hammersmith & City,Pink,5.865740664,,,,,,,
Mill Hill East,51.60892,-0.20965,Northern,Black,12.57953869,,,,,,,
Monument,51.510165,-0.085991,Circle,Yellow,2.056298168,,,,,,,
Monument,51.510165,-0.085991,District,Green,2.056298168,,,,,,,
Moor Park,51.62970512,-0.432070848,Metropolitation,Purple,25.48717078,,,,,,,
Moorgate,51.51817,-0.08859,Circle,Yellow,1.983755569,,,,,,,
Moorgate,51.51817,-0.08859,Hammersmith & City,Pink,1.983755569,,,,,,,
Moorgate,51.51817,-0.08859,Metropolitation,Purple,1.983755569,,,,,,,
Moorgate,51.51817,-0.08859,Northern,Black,1.983755569,,,,,,,
Morden,51.40222413,-0.194599126,Northern,Black,13.38847712,,,,,,,
Mornington Crescent,51.53427,-0.13901,Northern,Black,2.952547466,,,,,,,
Mudchute,51.491185,-0.014595,DLR,Teal,7.363997214,,,,,,,
Neasden,51.55427,-0.25042,Jubilee,Grey,10.44195895,,,,,,,
New Cross,51.477363,-0.0338817,Overground,Orange,6.846333966,,,,,,,
New Cross Gate,51.47585,-0.04049,Overground,Orange,6.575529243,,,,,,,
Newbury Park,51.57565,0.08927,Central,Red,15.82891178,,,,,,,
Nine Elms,51.480001,-0.128501,Northern,Black,3.679380649,,,,,,,
North Acton,51.5237,-0.26019,Central,Red,10.09148647,,,,,,,
North Ealing,51.51807,-0.28838,Piccadilly,Navy,11.97835435,,,,,,,
North Greenwich,51.50056,0.0036,Jubilee,Grey,8.345095633,,,,,,,
North Harrow,51.58503612,-0.362595264,Metropolitation,Purple,18.91062315,,,,,,,
North Wembley,51.56258091,-0.304072648,Bakerloo,Brown,14.19663603,,,,,,,
North Wembley,51.56258091,-0.304072648,Overground,Orange,14.19663603,N,,,,,,
Northfields,51.499856,-0.313188,Piccadilly,Navy,13.74677912,,,,,,,
Northolt,51.548054,-0.368257,Central,Red,17.93294721,,,,,,,
Northwick Park,51.57850117,-0.317857023,Metropolitation,Purple,15.81955802,,,,,,,
Northwood,51.61098984,-0.423584422,Metropolitation,Purple,23.9658999,,,,,,,
Northwood Hills,51.60043795,-0.408812575,Metropolitation,Purple,22.52966241,,,,,,,
Norwood Junction,51.396954,-0.07521,Overground,Orange,13.10422748,N,,,,,,
Notting Hill Gate,51.509028,-0.1962847,Central,Red,5.598060251,,,,,,,
Notting Hill Gate,51.509028,-0.1962847,Circle,Yellow,5.598060251,,,,,,,
Notting Hill Gate,51.509028,-0.1962847,District,Green,5.598060251,,,,,,,
Oakwood,51.64739,-0.13192,Piccadilly,Navy,15.08695181,,,,,,,
Old Street,51.52618,-0.08751,Northern,Black,2.493226743,,,,,,,
Osterley,51.481569,-0.35196,Piccadilly,Navy,16.71424682,,,,,,,
Oval,51.48214,-0.11284,Northern,Black,3.335762543,,,,,,,
Oxford Circus,51.51517,-0.14119,Bakerloo,Brown,1.807466769,,,,,,,
Oxford Circus,51.51517,-0.14119,Central,Red,1.807466769,,,,,,,
Oxford Circus,51.51517,-0.14119,Victoria,Blue,1.807466769,,,,,,,
Paddington,51.51518466,-0.175538808,Bakerloo,Brown,4.165912853,,,,,,,
Paddington,51.51518466,-0.175538808,District,Green,4.165912853,,,,,,,
Paddington,51.51909671,-0.176968859,Circle,Yellow,4.321246964,,,,,,,
Paddington,51.51909671,-0.176968859,Hammersmith & City,Pink,4.321246964,,,,,,,
Park Royal,51.52671,-0.28417,Piccadilly,Navy,11.78014787,,,,,,,
Parsons Green,51.47488,-0.20205,District,Green,7.279307175,,,,,,,
Peckham Rye,51.469511,-0.069984,Overground,Orange,5.689248549,N,,,,,,
Penge West,51.418063,-0.060646,Overground,Orange,11.12567134,N,,,,,,
Perivale,51.536673,-0.32391,Central,Red,14.67237469,,,,,,,
Piccadilly Circus,51.51022,-0.13392,Bakerloo,Brown,1.288675831,,,,,,,
Piccadilly Circus,51.51022,-0.13392,Piccadilly,Navy,1.288675831,,,,,,,
Pimlico,51.489081,-0.133037,Victoria,Blue,2.830781442,,,,,,,
Pinner,51.59270271,-0.380539158,Metropolitation,Purple,20.39709856,,,,,,,
Plaistow,51.53122,0.01659,District,Green,9.386122367,,,,,,,
Plaistow,51.53122,0.01659,Hammersmith & City,Pink,9.386122367,,,,,,,
