Station,Latitude,Longitude,Line,Colour,Distance,Extra,,,,,,
Canons Park,51.6081,-0.29487,Jubilee,Grey,16.3599198,,,,,,,
Dollis Hill,51.5525,-0.23884,Jubilee,Grey,9.639811744,,,,,,,
Finchley Road,51.546701,-0.179867,Jubilee,Grey,5.882964754,,,,,,,
Green Park,51.50674,-0.14276,Jubilee,Grey,1.975361164,,,,,,,
Kilburn,51.5471715,-0.205002,Jubilee,Grey,7.315124193,,,,,,,
Kingsbury,51.58422,-0.2788,Jubilee,Grey,13.84778435,,,,,,,
London Bridge,51.505353,-0.084826,Jubilee,Grey,2.254041324,,,,,,,
Neasden,51.55427,-0.25042,Jubilee,Grey,10.44195895,,,,,,,
North Greenwich,51.50056,0.0036,Jubilee,Grey,8.345095633,,,,,,,
Queensbury,51.59437,-0.28655,Jubilee,Grey,14.94970904,,,,,,,
Southwark,51.50384,-0.10478,Jubilee,Grey,1.181869144,,,,,,,
St.John's Wood,51.53472,-0.17428,Jubilee,Grey,4.77960517,,,,,,,
Stanmore,51.61895,-0.30241,Jubilee,Grey,17.55041269,,,,,,,
Stratford,51.541208,-0.003776,Jubilee,Grey,8.382490925,,,,,,,
Swiss Cottage,51.54333,-0.17436,Jubilee,Grey,5.349851004,,,,,,,
Waterloo,51.50322,-0.11328,Jubilee,Grey,0.998876445,,,,,,,
Wembley Park,51.56355598,-0.279770242,Jubilee,Grey,12.71855601,,,,,,,
West Ham,51.527917,0.004141,Jubilee,Grey,8.465840017,,,,,,,
West Hampstead,51.54657,-0.19055,Jubilee,Grey,6.451374063,,,,,,,
Westminster,51.50121,-0.12489,Jubilee,Grey,1.372096123,,,,,,,
Willesden Green,51.54919,-0.22106,Jubilee,Grey,8.384048447,,,,,,,
Aldgate,51.51394,-0.07537,Metropolitation,Purple,2.787583783,,,,,,,
Amersham,51.67435,-0.60732,Metropolitation,Purple,38.46515228,,,,,,,
Baker Street,51.52265,-0.15704,Metropolitation,Purple,3.102079798,,,,,,,
Barbican,51.520865,-0.097758,Metropolitation,Purple,1.57038299,,,,,,,
Chalfont & Latimer,51.66822,-0.56053,Metropolitation,Purple,35.30452269,,,,,,,
Chesham,51.70522733,-0.610986426,Metropolitation,Purple,40.39458881,,,,,,,
Chorleywood,51.65429872,-0.518373353,Metropolitation,Purple,32.01127624,,,,,,,
Croxley,51.64733268,-0.441479115,Metropolitation,Purple,27.08100136,,,,,,,
Eastcote,51.57676,-0.39629,Metropolitation,Purple,20.70334896,,,,,,,
Euston Square,51.52584,-0.1357,Metropolitation,Purple,2.069329688,,,,,,,
Farringdon,51.52036295,-0.105126482,Metropolitation,Purple,1.168481112,,,,,,,
Finchley Road,51.546701,-0.179867,Metropolitation,Purple,5.882964754,,,,,,,
Great Portland Street,51.52391,-0.14397,Metropolitation,Purple,2.365537369,,,,,,,
Harrow-on-the-Hill,51.579335,-0.337052,Metropolitation,Purple,17.04507046,,,,,,,
Hillingdon,51.55364,-0.45062,Metropolitation,Purple,23.633391,,,,,,,
Ickenham,51.56147,-0.44257,Metropolitation,Purple,23.27553549,,,,,,,
King's Cross St.Pancras,51.53057,-0.12399,Metropolitation,Purple,2.136161838,,,,,,,
Liverpool Street,51.517675,-0.082458,Metropolitation,Purple,2.372087264,,,,,,,
Moor Park,51.62970512,-0.432070848,Metropolitation,Purple,25.48717078,,,,,,,
Moorgate,51.51817,-0.08859,Metropolitation,Purple,1.983755569,,,,,,,
North Harrow,51.58503612,-0.362595264,Metropolitation,Purple,18.91062315,,,,,,,
Northwick Park,51.57850117,-0.317857023,Metropolitation,Purple,15.81955802,,,,,,,
Northwood,51.61098984,-0.423584422,Metropolitation,Purple,23.9658999,,,,,,,
Northwood Hills,51.60043795,-0.408812575,Metropolitation,Purple,22.52966241,,,,,,,
Pinner,51.59270271,-0.380539158,Metropolitation,Purple,20.39709856,,,,,,,
Preston Road,51.57229051,-0.295813875,Metropolitation,Purple,14.15024593,,,,,,,
Rickmansworth,51.64027898,-0.473521454,Metropolitation,Purple,28.55056432,,,,,,,
Ruislip,51.57146,-0.42157,Metropolitation,Purple,22.16954963,,,,,,,
Ruislip Manor,51.57349,-0.41185,Metropolitation,Purple,21.59861791,,,,,,,
Uxbridge,51.54687,-0.47725,Metropolitation,Purple,25.31837817,,,,,,,
Watford,51.65741058,-0.41745306,Metropolitation,Purple,26.385958,,,,,,,
Wembley Park,51.56355598,-0.279770242,Metropolitation,Purple,12.71855601,,,,,,,
West Harrow,51.5795432,-0.353144584,Metropolitation,Purple,18.06127261,,,,,,,
Angel,51.53253,-0.10579,Northern,Black,2.370662991,,,,,,,
Archway,51.56536,-0.13474,Northern,Black,6.070112086,,,,,,,
Balham,51.44344113,-0.152945844,Northern,Black,8.061138877,,,,,,,
